,JD,Mag,Air Mass
0,2460410.6506365743,7.987141007596733,1.2595738577182678
1,2460410.453125,7.847280903255832,1.0930807065570733
2,2460410.6735300925,4.6316026728845445,1.3413452706343987
3,2460410.4386921297,7.902882077798784,1.1125886814701262
4,2460410.495023148,7.925296048678534,1.060303282706859
5,2460410.5483680554,9.359830534015845,1.0671858626358572
6,2460410.6135300924,9.048076884243821,1.1539860610716526
7,2460410.3682407406,7.994119459330731,1.2979411800638123
8,2460410.457696759,7.871176589933775,1.0896948894221927
9,2460410.344664352,7.832490371801923,1.4007353676110377
10,2460410.424953704,7.979710801208682,1.1393658722510143
11,2460410.5621180558,9.296388170876353,1.0767587311543683
12,2460410.604363426,9.280476320036486,1.1382892918521985
13,2460410.640983796,9.320688101842308,1.2283024452174585
14,2460410.3400810184,7.8806054085247155,1.4141395201394737
15,2460410.6089351852,9.062414140046716,1.148217035752698
16,2460410.3916550926,7.931542164716851,1.21804192371351
17,2460410.4203819446,7.942057497334902,1.1493575312282804
18,2460410.4858680554,8.022374594985157,1.0630030181996744
19,2460410.406099537,7.841477309817777,1.1783656361266404
20,2460410.6598032406,3.8047677635496653,1.2857534347136046
21,2460410.3545138887,7.984027141196093,1.3554164662323638
22,2460410.5855324073,9.405270761600137,1.1070554638519008
23,2460410.525462963,9.338288378779538,1.0559540704748775
24,2460410.4622800928,7.961637089098845,1.083385615534683
25,2460410.5946875,9.368436232380956,1.119530282463182
26,2460410.590104167,9.460758968863782,1.111236703830521
27,2460410.566701389,9.476733166769131,1.082548006212542
28,2460410.6552199074,7.968265791985274,1.268929974098488
29,2460410.543784722,9.303073680645143,1.062759819281793
30,2460410.429537037,7.994947266600008,1.1299229745064208
31,2460410.517916667,7.891003144332505,1.0553986815141143
32,2460410.513344907,7.962898626688436,1.0553558024194627
33,2460410.539201389,9.386332410204291,1.0613402657633118
34,2460410.4996064813,7.897601989292637,1.0567731906152196
35,2460410.552962963,9.389520488318372,1.0691478963025036
36,2460410.3870717594,7.964560448648566,1.2322649123817393
37,2460410.3590856483,7.875073274460211,1.3353243896900961
38,2460410.481284722,7.996570375386884,1.0674527181954685
39,2460410.401527778,7.789384847201202,1.190544910076555
40,2460410.636412037,9.38825786112183,1.2142766372975022
41,2460410.434108796,7.884165424354419,1.121004377548415
42,2460410.576377315,9.335802568293145,1.0925016121227484
43,2460410.334791667,8.089568493524379,1.45100862571793
44,2460410.349236111,7.938683977804713,1.3784888872809995
45,2460410.3969444446,7.926962738917924,1.2033385004077268
46,2460410.4760069447,7.938379562642334,1.0697663933897685
47,2460410.471435185,7.902814923751092,1.074932630641071
48,2460410.631828704,8.68955474315235,1.2009642762160126
49,2460410.622673611,9.07152872367957,1.1762336163590237
50,2460410.490451389,7.827720554642529,1.0615380544598982
51,2460410.3728125,7.9003802713013505,1.2805567589401905
52,2460410.5718055554,9.384120880575031,1.0859312405910952
53,2460410.557534722,9.299128817729782,1.0742560656117592
54,2460410.580949074,9.424352231605356,1.0995345773233016
55,2460410.504178241,7.92075001718192,1.0560434992976904
56,2460410.415798611,7.99372064048263,1.1598725153428575
57,2460410.6455555554,9.650786151472234,1.2430288247873589
58,2460410.6689467593,7.941520941562689,1.3219011920899832
59,2460410.3825,7.851357194549042,1.2471992506865497
60,2460410.4478472224,7.827459945193256,1.1007506274852437
61,2460410.6272453703,9.20598780019533,1.1882856484324802
62,2460410.443263889,7.8945149025487185,1.1083514854569025
63,2460410.4106828705,7.866200015258921,1.1717774665858816
64,2460410.5346180554,9.403378839217059,1.0575501549067063
65,2460410.466851852,7.831786581379424,1.0775066990332234
66,2460410.664375,7.943733945592302,1.3033101177465722
67,2460410.618101852,9.156486474845927,1.1648050950485669
68,2460410.3636689815,8.014992731837058,1.3161804372841002
69,2460410.3779166667,7.941432691814041,1.2629408335009276
70,2460410.508773148,7.853435217133082,1.0555871991653438
71,2460410.5300347223,9.327991589848935,1.0566396634007835
72,2460410.599270833,9.326194609934468,1.1283646252830728
