,file,Distance (Mpc),Time (s),Phase (radians),Larger Mass (solar masses),Smaller Mass (solar masses)
0,GW150914_strain.txt,1124.3824233791725,3.197816642462039,0.2617431770562748,37.368421052631575,34.21052631578947
1,GW151012_strain.txt,1767.0551150270978,2.7075734064272075,9.436371587957731e-13,38.1578947368421,10.526315789473685
2,GW151226_strain.txt,1014.3932942423535,2.0684365133504343,2.8082864064896635,12.842105263157894,9.263157894736842
3,GW170104_strain.txt,2061.59878773546,1.9742312060003369,2.109421121470109,39.473684210526315,22.63157894736842
4,GW170608_strain.txt,734.4884724016681,3.791376170849853,1.8007117238737793,12.421052631578949,7.684210526315789
5,GW170729_strain.txt,3359.433633045078,3.54093134571141,2.148997256246093,73.6842105263158,32.63157894736842
6,GW170809_strain.txt,4187.511047910968,2.640186940451129,8.393474778296687e-10,44.473684210526315,15.526315789473685
7,GW170814_strain.txt,2227.3193245941343,3.3370779093130265,0.5982025311515204,31.578947368421055,27.894736842105264
8,GW170818_strain.txt,2503.6724232299784,7.938075936530649,2.667396302111291,33.0,12.0
9,GW170823_strain.txt,3970.5001701613296,4.456135285530775,1.3792862428148128e-10,57.89473684210526,24.736842105263158
