,JD,Mag,Air Mass
0,2460342.3461342594,7.71624207598913,1.2439752583156476
1,2460342.352199074,15.442248666529643,1.215734196264935
2,2460342.423125,12.693805396692348,1.035153804139729
3,2460342.391400463,15.380256172662463,1.0914274392288428
4,2460342.3552314816,15.514565514171853,1.2026140453699767
5,2460342.4095949074,9.581879846099856,1.0554204389629676
6,2460342.380902778,15.505020405216548,1.1181496298742384
7,2460342.3400694444,15.089519386243758,1.2679469941520565
8,2460342.383935185,15.244787622532506,1.1094738316173138
9,2460342.3626967594,15.21361901044411,1.1749426489449655
10,2460342.4261574075,15.411453209816713,1.033059969184902
11,2460342.4035416665,15.399041902522084,1.0670935789468936
12,2460342.3491666666,15.242041853295571,1.2295357890443355
13,2460342.4291898147,11.584743067799852,1.0293054991385242
14,2460342.3596643517,15.517814006633511,1.1868332080503616
15,2460342.4187037037,15.399404378132427,1.0426051296741716
16,2460342.3431018516,15.505058053747248,1.2590926824753021
17,2460342.400497685,15.371903006189385,1.07055581027842
18,2460342.337037037,15.086863186275306,1.2841717783885378
19,2460342.330960648,15.568742582102265,1.3189561707360182
20,2460342.3657291667,15.522203345335988,1.1635902077935012
21,2460342.3717939816,15.284869077549917,1.1424544292455547
22,2460342.4126273147,9.523285399996054,1.050128641248659
23,2460342.368761574,15.234869332726884,1.1527978693218903
24,2460342.397465278,15.427631097449817,1.077143467731253
25,2460342.374837963,9.554889701540985,1.1368723438221113
26,2460342.327928241,15.396452911962895,1.337586901711184
27,2460342.37787037,15.470194340156667,1.1272652116232689
28,2460342.4065625,15.263974041226506,1.0610849996477236
29,2460342.4322337965,11.711559351415238,1.0258435209266974
30,2460342.3340046294,15.206529243957863,1.3011601791214344
31,2460342.394421296,15.45062141517555,1.084100684470622
32,2460342.4156712964,15.389552926432229,1.0451295674443832
33,2460342.386979167,15.401949544448456,1.1012108739245496
