,JD,Mag,Air Mass
0,2460410.587060185,7.976159445150772,1.1084337924314818
1,2460410.491990741,7.720856118436185,1.0610895995666911
2,2460410.421909722,6.97874892911677,1.142983826372387
3,2460410.5779050924,7.970043406657599,1.0936746771667951
4,2460410.6196296294,8.017496154208926,1.1719036621456718
5,2460410.624212963,7.994805306798621,1.178495147802987
6,2460410.337037037,6.915862719298583,1.433480261887978
7,2460410.637939815,6.987087538541786,1.2169160200092577
8,2460410.600798611,8.08357315485119,1.1300308942410637
9,2460410.3794444446,7.712554855076328,1.2597944838401087
10,2460410.554490741,6.922787873396733,1.0698572433222497
11,2460410.505717593,7.724035801156363,1.0558828355303205
12,2460410.4122222224,7.690494922988769,1.164683695625302
13,2460410.6470949072,7.954570259431339,1.2460121843446947
14,2460410.531574074,7.747682274156505,1.0569106830191053
15,2460410.670486111,7.714093899257318,1.3337086265393288
16,2460410.6058912035,7.999339984404697,1.1400608488959278
17,2460410.449386574,6.997959108105414,1.0994609031450742
18,2460410.3651967593,6.943111779877621,1.3048170075532068
19,2460410.6333680553,6.997583100361676,1.2034791125937734
20,2460410.5499074073,6.917177307642724,1.0678143647640645
21,2460410.472962963,6.964345440658518,1.0741567664538294
22,2460410.3697685185,6.978546034421795,1.2944616206038515
23,2460410.431064815,7.692069515720027,1.128256570476511
24,2460410.5733333332,6.919273145046359,1.0902608122088673
25,2460410.417326389,7.69919330389621,1.153182460991573
26,2460410.4264930557,7.019787271893138,1.1375602466107475
27,2460410.454664352,7.712356933912279,1.0919188592224978
28,2460410.435648148,6.998527087670774,1.1194368736556848
29,2460410.540740741,6.932888337302961,1.061799032768192
30,2460410.360625,6.933181512397484,1.3233959800662867
31,2460410.3840277777,7.681993427282685,1.2442709821429268
32,2460410.596226852,8.10086632049087,1.1211025304792208
33,2460410.501134259,7.726909644622413,1.0565119719626777
34,2460410.5361574073,7.780817604463168,1.0605050341869455
35,2460410.568240741,6.98604546775902,1.0835472730304907
36,2460410.6567592593,7.79130162602699,1.2791543296884724
37,2460410.559074074,6.939609428727454,1.0750636370013806
38,2460410.468391204,6.9631483206320635,1.0766177454216739
39,2460410.652175926,6.95305138180589,1.262650205055969
40,2460410.6150578703,,1.1607066765337282
41,2460410.563657407,6.989334418502123,1.0776206987215087
42,2460410.4874074073,7.6618454675519025,1.0624772134373124
43,2460410.4448032407,6.7346503775051305,1.1033420029969099
44,2460410.3886111113,7.678066499031102,1.2294789936615473
45,2460410.407638889,7.696801949176197,1.1761014292921808
46,2460410.5916435183,8.099034008095336,1.1165079773018989
47,2460410.482824074,7.69451183288888,1.064098706585994
48,2460410.3416203703,6.916442491635161,1.4095446421068518
49,2460410.4402199076,7.692465314983645,1.111151194548114
50,2460410.477546296,7.724006575154458,1.06906111083592
51,2460410.6613310184,7.706980172739453,1.2964707747416429
52,2460410.5269907406,7.655401617184454,1.0561505449289297
53,2460410.4030555557,7.682561288665021,1.1881618709551915
54,2460410.3984837965,7.664695844785227,1.2008249072776662
55,2460410.5194560187,7.7309008701252075,1.0554602365181487
56,2460410.4965625,7.699806454565572,1.0573661286932716
57,2460410.642511574,7.014519897673781,1.231077820823345
58,2460410.4638194446,6.998165638435726,1.0823898528015652
59,2460410.582488426,7.9568022561705405,1.1008301931094422
60,2460410.459236111,7.698181752097675,1.0853882275606115
61,2460410.610474537,7.981022179550827,1.1501442825776254
62,2460410.510300926,7.725000773710929,1.0554770309618655
63,2460410.350775463,6.904591044388317,1.3652827083900154
64,2460410.331736111,6.891510934284499,1.460795414166024
65,2460410.346203704,6.905041304777723,1.3868765763114572
66,2460410.545324074,6.930149225573184,1.0632977166081843
67,2460410.514884259,7.720222955752336,1.0553452408897421
68,2460410.6659027776,7.693444600511624,1.3146265925505307
69,2460410.393900463,7.681951036820549,1.2141277734786473
70,2460410.628773148,7.005860279666177,1.1906711297168635
71,2460410.3560416666,6.914754394841827,1.3429851664991455
72,2460410.3743518516,6.945393831168607,1.277236245367307
