,JD,Mag,Air Mass
0,2460342.4141435185,12.795022235337457,1.048740565801596
1,2460342.373310185,12.837733615628647,1.139620107902543
2,2460342.4171875,12.885280626019473,1.0438529454832919
3,2460342.3415856482,12.868193984569755,1.263487064672471
4,2460342.364212963,12.857268117497,1.1716850468310087
5,2460342.332476852,12.870984252240675,1.3138480776229415
6,2460342.392905093,12.85713052893305,1.086101456004732
7,2460342.4080902776,12.854387480483703,1.0569523463922261
8,2460342.3672453705,12.861617475486613,1.1605252951722782
9,2460342.3537152777,12.879294171362192,1.2062151085032438
10,2460342.4307175926,12.857870870692421,1.0283958056714388
11,2460342.4276736113,12.810609723849744,1.0302408228343676
12,2460342.3446180555,12.863972725156131,1.2481741349798927
13,2460342.395949074,12.866259338639933,1.0821295289801327
14,2460342.3355208333,12.83473676057453,1.2962859801251396
15,2460342.3476504628,12.917171708593223,1.2335482431340035
16,2460342.3611805555,12.84584486139037,1.1782438776011628
17,2460342.3506828705,12.87369844325885,1.2195700488969023
18,2460342.3581365743,12.904368805942392,1.1902913059611788
19,2460342.4111226853,12.855190453302818,1.0539366165070871
20,2460342.4050578703,12.8706121866259,1.062691100049342
21,2460342.370277778,12.884717588091476,1.1498319856606252
22,2460342.376354167,12.833309731504272,1.1299250493404744
23,2460342.326412037,12.886883093008905,1.343001976580959
24,2460342.3824189813,12.866171342747693,1.111844910868957
25,2460342.4246412036,12.822469031113643,1.034076562710098
26,2460342.379386574,12.85960100416836,1.120681524768322
27,2460342.4216087963,12.852129913454968,1.0382346941164748
28,2460342.433761574,12.858332716520632,1.0250282510716635
29,2460342.385462963,12.831715857535022,1.1070995179150318
30,2460342.3294444443,12.858327214924472,1.3241254306797996
31,2460342.3385416665,12.879379924663175,1.2795195749562334
32,2460342.389884259,12.846607957971507,1.0935344146835317
33,2460342.402013889,12.884176924427042,1.06879620813722
34,2460342.3989814813,12.84357977510509,1.0752793128391793
