Unnamed: 0,JD,Space Mag,Mag,error,Air Mass,extinction,extinction error
0,2460342.4080902776,12.096420983150637,12.20331734625764,0.0134,1.056952346392226,0.101136407399898,0.0098482175211292
1,2460342.376354167,12.15333103769979,12.267607597821238,0.0134,1.1299250493404744,,
2,2460342.326412037,11.912130062584483,12.047956457626842,0.0134,1.343001976580959,,
3,2460342.427673612,11.761278387198516,11.865473242776698,0.0134,1.0302408228343676,,
4,2460342.402013889,12.211566428814029,12.319660637547662,0.0134,1.06879620813722,,
5,2460342.332476852,11.722902768807234,11.85578064324728,0.0134,1.3138480776229415,,
6,2460342.392905093,12.249428229835713,12.35927262916783,0.0134,1.086101456004732,,
7,2460342.385462963,12.222088744004722,12.334056811880808,0.0134,1.1070995179150318,,
8,2460342.4307175926,11.787390701729008,11.89139895889974,0.0134,1.0283958056714388,,
9,2460342.3537152777,11.907907838658243,12.02990010128374,0.0134,1.2062151085032438,,
10,2460342.341585648,11.742312087357346,11.870096629874563,0.0134,1.263487064672471,,
11,2460342.4141435185,11.95400929510426,12.06007514822397,0.0134,1.048740565801596,,
12,2460342.4216087963,11.7253185146672,11.830321841668072,0.0134,1.0382346941164748,,
13,2460342.3446180555,11.779613390200895,11.905849238022236,0.0134,1.2481741349798927,,
14,2460342.4171875,11.829853347163587,11.935424883923568,0.0134,1.043852945483292,,
15,2460342.373310185,12.133145687599082,12.24840277111303,0.0134,1.139620107902543,,
16,2460342.433761574,11.833255089143444,11.936922763940233,0.0134,1.0250282510716635,,
17,2460342.364212963,12.05834398830236,12.17684400454303,0.0134,1.1716850468310087,,
18,2460342.4111226853,12.043308154809749,12.14989951783048,0.0134,1.0539366165070871,,
19,2460342.379386574,12.177758551122833,12.29110025437734,0.0134,1.120681524768322,,
20,2460342.3581365743,11.978618063611403,12.09899985005565,0.0134,1.1902913059611788,,
21,2460342.3355208333,11.696954197324368,11.82805590431708,0.0134,1.2962859801251396,,
22,2460342.3989814813,12.24606642333309,12.354816309985075,0.0134,1.075279312839179,,
23,2460342.3824189813,12.197838267853154,12.3102862677243,0.0134,1.111844910868957,,
24,2460342.3611805555,12.025055984167352,12.14421933698886,0.0134,1.1782438776011628,,
25,2460342.395949074,12.247038958717269,12.356481651619664,0.0134,1.0821295289801327,,
26,2460342.3294444443,11.811264704832391,11.945181993838188,0.0134,1.3241254306797996,,
27,2460342.3385416665,11.720587212820226,11.849993225829143,0.0134,1.2795195749562334,,
28,2460342.3476504628,11.81922911093527,11.9439857486003,0.0134,1.2335482431340037,,
29,2460342.389884259,12.238402500590162,12.348998642659405,0.0134,1.0935344146835315,,
30,2460342.370277778,12.107779730793355,12.224069606936562,0.0134,1.1498319856606252,,
31,2460342.4050578703,12.17725152698556,12.284728287020394,0.0134,1.062691100049342,,
32,2460342.3506828705,11.86271048344559,11.98605341676354,0.0134,1.2195700488969023,,
33,2460342.3672453705,12.083766945138054,12.201138304188484,0.0134,1.1605252951722782,,
34,2460342.424641204,11.728648413377968,11.833231201906903,0.0134,1.034076562710098,,
