,JD,Mag,Air Mass
0,2460342.4080902776,12.805561436162098,1.0569523463922261
1,2460342.376354167,12.886979676832828,1.1299250493404744
2,2460342.326412037,12.89085002596101,1.343001976580959
3,2460342.4276736113,12.876741347450253,1.0302408228343676
4,2460342.402013889,12.892730546447275,1.06879620813722
5,2460342.332476852,12.902690422533963,1.3138480776229415
6,2460342.392905093,12.883804526669199,1.086101456004732
7,2460342.385462963,12.885693149657767,1.1070995179150318
8,2460342.4307175926,12.89052133121068,1.0283958056714388
9,2460342.3537152777,12.907729713127372,1.2062151085032438
10,2460342.3415856482,12.903566404239042,1.263487064672471
11,2460342.4141435185,12.887561252785805,1.048740565801596
12,2460342.4216087963,12.885815607265789,1.0382346941164748
13,2460342.3446180555,12.916221559246997,1.2481741349798927
14,2460342.4171875,12.898803248316382,1.0438529454832919
15,2460342.373310185,12.892108113984566,1.139620107902543
16,2460342.433761574,12.88372215102063,1.0250282510716635
17,2460342.364212963,12.892248006526357,1.1716850468310087
18,2460342.4111226853,12.894198039271071,1.0539366165070871
19,2460342.379386574,12.882980153067418,1.120681524768322
20,2460342.3581365743,12.9135400518131,1.1902913059611788
21,2460342.3355208333,12.905081722149582,1.2962859801251396
22,2460342.3989814813,12.880846109551287,1.0752793128391793
23,2460342.3824189813,12.892221007764881,1.111844910868957
24,2460342.3611805555,12.903931557226677,1.1782438776011628
25,2460342.395949074,12.894663514896761,1.0821295289801327
26,2460342.3294444443,12.902335885422183,1.3241254306797996
27,2460342.3385416665,12.903576146291941,1.2795195749562334
28,2460342.3476504628,12.914316013416963,1.2335482431340035
29,2460342.389884259,12.884983985853992,1.0935344146835317
30,2460342.370277778,12.885948409296338,1.1498319856606252
31,2460342.4050578703,12.88628636049812,1.062691100049342
32,2460342.3506828705,12.91160218410411,1.2195700488969023
33,2460342.3672453705,12.902930017579749,1.1605252951722782
34,2460342.4246412036,12.88441716100552,1.034076562710098
