JD,Temperature,Error,Colour
2460342.4080902776,72403.96220318854,0.0213873269577419,0.0354424741854781
2460342.376354167,75459.03758965484,0.0213873269577419,-0.0255076836158387
2460342.326412037,83200.8396292463,0.0213873269577419,-0.1599170671147298
2460342.427673612,137900.60478936284,0.0213873269577419,-0.6795756203064318
2460342.402013889,74055.95072789726,0.0213873269577419,0.0018601129097266
2460342.332476852,128237.30394984371,0.0213873269577419,-0.6200133218440698
2460342.392905093,81999.15681384606,0.0213873269577419,-0.140718038632384
2460342.385462963,66246.83513588295,0.0213873269577419,0.1753616203162522
2460342.4307175926,127162.9207548325,0.0213873269577419,-0.6128318935033761
2460342.3537152777,100090.22671850423,0.0213873269577419,-0.3809825846777848
2460342.341585648,96758.53481167214,0.0213873269577419,-0.3434843886159058
2460342.4141435185,108325.43246043475,0.0213873269577419,-0.4637727685526513
2460342.4216087963,102668.7307067581,0.0213873269577419,-0.4083330323686844
2460342.3446180555,95126.90958666925,0.0213873269577419,-0.3241622925246918
2460342.4171875,104788.2410896478,0.0213873269577419,-0.4298069509846147
2460342.373310185,73223.4685953984,0.0213873269577419,0.0185937813501766
2460342.433761574,89545.68459553196,0.0213873269577419,-0.2527442439874008
2460342.364212963,99964.24469097523,0.0213873269577419,-0.3796101277315955
2460342.4111226853,74129.15583458544,0.0213873269577419,0.0004066001132763
2460342.379386574,70720.02299736295,0.0213873269577419,0.0712890915499908
2460342.3581365743,94621.09031253096,0.0213873269577419,-0.3180369477885332
2460342.3355208333,129882.10273550783,0.0213873269577419,-0.6307773688268057
2460342.3989814813,75783.40890034575,0.0213873269577419,-0.0316904599351861
2460342.3824189813,80827.9394674558,0.0213873269577419,-0.1214564058151292
2460342.3611805555,103762.95252335459,0.0213873269577419,-0.4195287349743957
2460342.395949074,80392.41606602076,0.0213873269577419,-0.114150713041317
2460342.3294444443,97031.07974547027,0.0213873269577419,-0.3466485925342031
2460342.3385416665,133558.9757664586,0.0213873269577419,-0.6538811328517706
2460342.3476504628,120375.16408401934,0.0213873269577419,-0.5644975998211699
2460342.389884259,69261.85069052903,0.0213873269577419,0.1037379078567539
2460342.370277778,71075.98711037578,0.0213873269577419,0.0635699781521292
2460342.4050578703,91080.59304809265,0.0213873269577419,-0.273257682540061
2460342.3506828705,96146.47215389714,0.0213873269577419,-0.336313058002494
2460342.3672453705,100321.29945355162,0.0213873269577419,-0.3834909476479957
