,JD,Mag,Air Mass
0,2460342.3552314816,12.580738143939168,1.2026140453699767
1,2460342.4261574075,12.621854489316537,1.033059969184902
2,2460342.400497685,12.627435797800445,1.07055581027842
3,2460342.3626967594,12.629342804222432,1.1749426489449655
4,2460342.3491666666,12.60968083038113,1.2295357890443355
5,2460342.4065625,12.590149009712066,1.0610849996477236
6,2460342.352199074,12.605867106078462,1.215734196264935
7,2460342.3596643517,12.638387612070897,1.1868332080503616
8,2460342.391400463,12.61373113982494,1.0914274392288428
9,2460342.397465278,12.579716927489386,1.077143467731253
10,2460342.386979167,12.60104388829071,1.1012108739245496
11,2460342.3717939816,12.651963246745858,1.1424544292455547
12,2460342.337037037,12.580331158875964,1.2841717783885378
13,2460342.4322337965,12.63207337695358,1.0258435209266974
14,2460342.4187037037,12.602494024085729,1.0426051296741716
15,2460342.374837963,12.623486799572696,1.1368723438221113
16,2460342.4126273147,12.669449613603662,1.050128641248659
17,2460342.4291898147,12.595776447470389,1.0293054991385242
18,2460342.4156712964,12.633675146606555,1.0451295674443832
19,2460342.3461342594,12.604554973493354,1.2439752583156476
20,2460342.380902778,12.540565635739677,1.1181496298742384
21,2460342.330960648,12.644255524661338,1.3189561707360182
22,2460342.368761574,12.647352362365586,1.1527978693218903
23,2460342.383935185,12.579561357768691,1.1094738316173138
24,2460342.4095949074,12.599321772773683,1.0554204389629676
25,2460342.3400694444,12.59717614769172,1.2679469941520565
26,2460342.37787037,12.56793381710478,1.1272652116232689
27,2460342.394421296,12.571264028551884,1.084100684470622
28,2460342.327928241,12.612407063044472,1.337586901711184
29,2460342.423125,12.629128463283108,1.035153804139729
30,2460342.3657291667,12.620611631684804,1.1635902077935012
31,2460342.3431018516,12.682421896427124,1.2590926824753021
32,2460342.3340046294,12.642229524142707,1.3011601791214344
33,2460342.4035416665,12.609533650983604,1.0670935789468936
