,JD,Mag,Air Mass
0,2460342.4080902776,12.281313107886941,1.0569523463922261
1,2460342.376354167,12.34498546439132,1.1299250493404744
2,2460342.326412037,12.130649617852319,1.343001976580959
3,2460342.4276736113,11.931603212180406,1.0302408228343676
4,2460342.402013889,12.400816886421213,1.06879620813722
5,2460342.332476852,11.947617956979435,1.3138480776229415
6,2460342.392905093,12.432961435376388,1.086101456004732
7,2460342.385462963,12.410128534496241,1.1070995179150318
8,2460342.4307175926,11.970701060075706,1.0283958056714388
9,2460342.3537152777,12.128900497611156,1.2062151085032438
10,2460342.3415856482,11.963050783155152,1.263487064672471
11,2460342.4141435185,12.137108959933942,1.048740565801596
12,2460342.4216087963,11.90559366680098,1.0382346941164748
13,2460342.3446180555,12.010711866871596,1.2481741349798927
14,2460342.4171875,12.024129669970968,1.0438529454832919
15,2460342.373310185,12.330108911734381,1.139620107902543
16,2460342.433761574,12.010311525055808,1.0250282510716635
17,2460342.364212963,12.257694599433293,1.1716850468310087
18,2460342.4111226853,12.233390046429799,1.0539366165070871
19,2460342.379386574,12.36430165861278,1.120681524768322
20,2460342.3581365743,12.202790789676833,1.1902913059611788
21,2460342.3355208333,11.922469123418402,1.2962859801251396
22,2460342.3989814813,12.424798843001033,1.0752793128391793
23,2460342.3824189813,12.39444826907446,1.111844910868957
24,2460342.3611805555,12.237459974055323,1.1782438776011628
25,2460342.395949074,12.440444702560573,1.0821295289801327
26,2460342.3294444443,12.036823743532551,1.3241254306797996
27,2460342.3385416665,11.942132938405283,1.2795195749562334
28,2460342.3476504628,12.04841531138246,1.2335482431340035
29,2460342.389884259,12.42431571631479,1.0935344146835317
30,2460342.370277778,12.301390156964178,1.1498319856606252
31,2460342.4050578703,12.360358521694875,1.062691100049342
32,2460342.3506828705,12.087220239727255,1.2195700488969023
33,2460342.3672453705,12.293106096502266,1.1605252951722782
34,2460342.4246412036,11.907065576057226,1.034076562710098
